origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_Naive,pred_SeasonalNaive,pred_Stack
2008,3,10,7570.3875,7070.109470782076,6875.6451602391535,6984.150479824404,6773.59130859375,6788.10400390625,6942.522093082905,6931.3055,5722.160048611111,6882.197508616248
2009,1,10,7109.177,6811.471333107116,6782.859454534294,6851.79505219643,6720.015625,6793.17431640625,6945.441216977188,6764.0195,5789.162920833333,6803.365331982117
2009,2,10,7570.3875,6798.463717835633,6790.855734724203,6868.754592740082,6719.98876953125,6792.07177734375,7004.743266650569,6764.0195,5789.162920833333,6813.291871055455
2009,3,10,7557.332,6801.595437623635,6800.908280569212,6869.581454814485,6719.9619140625,6790.96923828125,6950.332203357331,6764.0195,5789.162920833333,6813.3711738038655
2010,1,10,7570.3875,7183.168921306119,7197.880274081051,7150.108276444446,6891.3251953125,6911.7783203125,7035.357908408878,7109.177,5870.1797875,7031.215373669489
2010,2,10,7557.332,7199.057457076466,7210.401643467955,7177.574571041668,6891.29833984375,6910.67578125,7107.031307000956,7109.177,5870.1797875,7047.555137327364
2010,3,10,7785.4,7200.830832844112,7236.259658677847,7183.699703770832,6891.271484375,6909.5732421875,7058.002853697287,7109.177,5870.1797875,7050.868455019437
2011,1,10,7557.332,8149.874933668554,8113.28309518627,7673.713566519845,7465.970703125,7172.5439453125,7448.583271773263,7570.3875,5968.4126375000005,7451.433547461763
2011,2,10,7785.4,8024.504138524354,8163.221814852541,7674.350213570437,7465.94384765625,7171.44140625,7389.24996661072,7570.3875,5968.4126375000005,7451.396744735463
2012,1,10,7785.4,7828.420550685005,7763.71106452248,7777.032404762896,7391.7900390625,7008.10595703125,6973.73067532522,7557.332,6066.134004166666,7451.051279900437
2013,3,10,7405.491,7923.495385815763,7881.256094697126,7914.8955883918625,7522.63037109375,7154.44775390625,7070.641127642296,7785.4,6160.160404166667,7591.666526926627
2014,2,10,7405.491,7801.273331679354,7759.262086178822,7674.895873819448,7523.2236328125,7484.6865234375,7245.247665146609,7785.4,6247.3959208333345,7572.593008557932
2014,3,10,7385.248,7816.50461983403,7757.17100545635,7693.545831305557,7523.19677734375,7483.583984375,7163.557372065891,7785.4,6247.3959208333345,7583.5513623514225
2015,1,10,7405.491,7355.308039068435,7559.0853186723725,7616.994928519844,7333.88623046875,7163.18505859375,7285.876682419597,7785.4,6322.454293055555,7413.201966522865
2015,2,10,7385.248,7266.492652542874,7545.372234145446,7604.247601183536,7333.859375,7162.08251953125,7170.142990934149,7785.4,6322.454293055555,7404.99571078194
2016,1,10,7385.248,7380.868022472392,7453.677834312003,7398.710309203373,7296.404296875,7061.44775390625,7244.1677664056615,7405.491,6388.629243055556,7240.708523168098
2016,3,10,7257.7975,7323.734831586855,7445.40318358349,7425.731142885912,7296.3505859375,7059.24267578125,7186.5272347474565,7405.491,6388.629243055556,7256.350975500096
2017,2,10,7257.7975,7554.616371053278,7508.433477181158,7458.582104884921,7323.22119140625,7111.8486328125,7504.104395994075,7385.248,6455.373409722221,7296.700496346309
2017,3,10,7370.258,7564.141274353262,7540.1506883875045,7450.344738031743,7323.1943359375,7110.74609375,7457.63643000737,7385.248,6455.373409722221,7291.247078379849
2018,1,10,7257.7975,7374.690102831754,7477.924248176094,7399.5092432619085,7157.82763671875,6979.41943359375,7328.135215042617,7385.248,6523.217472222223,7209.546194149301
2018,2,10,7370.258,7438.868803998139,7502.909379710023,7409.005719068452,7157.80078125,6978.31689453125,7307.853556060884,7385.248,6523.217472222223,7214.917348181363
2019,1,10,7370.258,7338.966427225413,7393.919957154311,7335.727965846232,7257.544921875,7330.345703125,7600.7872184247535,7257.7975,6585.851255555555,7306.016876021699
2020,3,10,7318.512,7723.634571800621,7606.266848181857,7557.785408827381,7368.50927734375,7427.93359375,7541.149011223888,7370.258,6650.526222222223,7479.212196499344
